CV_area,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.01,19.2600047578761,1.97045805365296e-08,0.457661673152627,0.00193676723152078,3.23527203741603e-08,6.78529923542214e-10,0.133823654207151,0.00318688093467204
0.02,19.2600047408815,2.06575290333672e-08,0.460962142983242,0.00198157810179613,3.39173553980687e-08,7.22222862012593e-10,0.135939583294947,0.00285494145186383
0.03,19.2600047441978,2.15062580643349e-08,0.461055943229254,0.00203067809509523,3.5310873664842e-08,7.9359788532139e-10,0.139279583517263,0.00294785090214384
0.04,19.2600047133678,2.14984172526901e-08,0.462155327431876,0.00200385509640135,3.52979999843793e-08,8.46814818512655e-10,0.137112910518133,0.00317759425496623
0.05,19.2600047070735,2.20999032202118e-08,0.462466367170804,0.00198998130844036,3.62855727753235e-08,8.53293291019387e-10,0.136072023449641,0.00321733340426508
0.06,19.2600047482869,2.23999286691742e-08,0.460072870052335,0.00198598057167505,3.67781809743298e-08,8.76898636724565e-10,0.136504940937335,0.00309189839510004
0.07,19.2600047360999,2.44377924708706e-08,0.460979304827849,0.0020737729939459,4.01241257483273e-08,9.74321376493059e-10,0.142259011247037,0.00340079496135358
0.08,19.2600047672709,2.36685572739032e-08,0.459671753718917,0.0019878747151848,3.88611274088929e-08,9.21342384032412e-10,0.136754363351341,0.00333157028409885
0.09,19.2600047298273,2.48649562046285e-08,0.461315110065878,0.0020540170974343,4.08254809019806e-08,9.07855236941448e-10,0.140801205923925,0.00324213709855884
0.1,19.2600047705768,2.45578463839696e-08,0.459516939546259,0.00205015073614806,4.03212407924799e-08,8.74147934466552e-10,0.141086112718727,0.0030908201901954
0.15,19.2600047584439,2.60139326736443e-08,0.45728646592855,0.00198872647336952,4.27119718705802e-08,1.02531199274021e-09,0.137526600227537,0.00385672613332792
0.2,19.2600047344672,2.91079896764875e-08,0.459013399290774,0.00202444245120922,4.77920679435983e-08,1.25965153767048e-09,0.139469765972997,0.00318562684727534
0.25,19.2600047256253,2.94243357873341e-08,0.457429615565651,0.00192991373401483,4.83114729467224e-08,1.05565762779593e-09,0.133417751703297,0.00302547569255778
0.3,19.2600046680843,3.14185202316133e-08,0.460009494008997,0.00196715419122984,5.15857012270709e-08,1.20250978244377e-09,0.135229551434237,0.0033021518667988
0.35,19.2600046460175,3.14412326805315e-08,0.458923666422648,0.00198285315662671,5.16229925906895e-08,1.3215054040244e-09,0.136631267885416,0.00344533860531811
0.4,19.2600045865618,3.33728363464568e-08,0.461280842905658,0.00199044930647016,5.47944702507961e-08,1.27627201360868e-09,0.136453821405186,0.00297158172331041
0.45,19.2600044919542,3.3020919065446e-08,0.460252572676968,0.00199561216867077,5.42166616433084e-08,1.21590060519301e-09,0.137113405855462,0.0033266866898304
0.5,19.2600044477626,3.30504648231014e-08,0.459215417281686,0.00201607907792133,5.42651726024994e-08,1.27545294679292e-09,0.138832486656971,0.00310388116196003
0.55,19.2600043882542,3.26183111731783e-08,0.459803804856919,0.00197745819677367,5.35556247319798e-08,1.33733027706124e-09,0.135998697999467,0.00315424469992226
0.6,19.260004314169,3.2720977450079e-08,0.461218182040773,0.00192947658022557,5.37241915014196e-08,1.36319188167638e-09,0.132291850647943,0.00313315364933579
0.65,19.260004330179,3.40527385610323e-08,0.460946321027012,0.00201133148382466,5.59107945008992e-08,1.46240513826835e-09,0.137985451414837,0.00326056284376934
0.7,19.2600042887363,3.33107276284713e-08,0.458473117747469,0.0020584835650442,5.46924955178085e-08,1.56730958531001e-09,0.141982077892482,0.00314608614455033
0.75,19.2600042080486,3.29493765395953e-08,0.461105009211808,0.00200062229422916,5.40991976025094e-08,1.38431376448757e-09,0.137203523299171,0.00306263059355545
0.8,19.2600042235625,3.44750175147197e-08,0.459865410085143,0.00214990523306994,5.6604129705921e-08,1.88421545517559e-09,0.147838848952728,0.00364805740793138
0.85,19.2600041767019,3.47064303262427e-08,0.462327440116666,0.00205863065181069,5.69840838444e-08,1.44701763375708e-09,0.140808465080854,0.00316804308490624
0.9,19.2600040746413,3.19381661985453e-08,0.46094563150297,0.00195170965175636,5.24389034836097e-08,1.24678363103913e-09,0.133895353574782,0.00329654957932282
0.95,19.2600041099042,3.27803541748848e-08,0.459445878807705,0.002011905955526,5.38216820246365e-08,1.4032415599529e-09,0.138475619240072,0.00306549581129173
1,19.2600040783878,3.3537729055568e-08,0.459890762939035,0.00197777982898415,5.50652071170695e-08,1.39908335048431e-09,0.135995098704718,0.00343941930732483
1.5,19.2600039202355,3.459374215326e-08,0.459946659425913,0.00212938298862603,5.67990632016141e-08,1.41969406305795e-09,0.146401764571558,0.00375568968471301
2,19.2600038932685,3.48965762759128e-08,0.461365674603651,0.00210850066854133,5.72962831083592e-08,1.41254821350459e-09,0.144520169739684,0.00341633265604806
2.5,19.2600038492335,3.56978238349413e-08,0.461410663791576,0.00211908365317952,5.86118422994781e-08,1.50223680834215e-09,0.14523138328473,0.00392510922001674
3,19.2600038046307,3.59770966519357e-08,0.458075854175509,0.00201353477346356,5.90703772305491e-08,1.64882870234848e-09,0.139002219262498,0.00347128953499025
3.5,19.2600037505856,3.67067439162147e-08,0.462480846834758,0.00221655135491713,6.02683767702995e-08,1.59108924936038e-09,0.151559807941079,0.00621870704792222
4,19.2600037319939,3.73029940592339e-08,0.462490415678846,0.00213692720411413,6.1247353018398e-08,1.61929527004875e-09,0.146112371843585,0.00611381710927715
4.5,19.260003721292,3.74836040072107e-08,0.458885837601269,0.00209161595307405,6.15438944300728e-08,1.85785601563496e-09,0.144137601557559,0.00430704406515212
5,19.260003773721,3.7020203665668e-08,0.46185656934964,0.00212240563676166,6.07830426214959e-08,1.57435741106008e-09,0.145318620029543,0.00436075146502476
5.5,19.260003733562,3.92732840269984e-08,0.46170042473098,0.00215049670168547,6.44823492446208e-08,2.00145174035629e-09,0.147291778688924,0.00448248033498385
6,19.2600036665265,3.90738422236493e-08,0.462509002889542,0.00220132715900773,6.41548882856854e-08,2.01816737294342e-09,0.150509669091016,0.00524407631580103
6.5,19.2600037652398,3.91362776014566e-08,0.459577213196484,0.00213249777683399,6.4257399878911e-08,1.82645130899365e-09,0.146733778055218,0.00573796077354346
7,19.260003726604,3.87516419050343e-08,0.458215133268726,0.00212924662758274,6.3625871121647e-08,1.73482993427542e-09,0.146945584170502,0.0041447644976759
7.5,19.2600036717493,3.95916982037027e-08,0.462935473803637,0.00221749880712971,6.50051499945152e-08,1.72502343138613e-09,0.151475687996439,0.00530413194775727
8,19.2600036784718,4.12138969563907e-08,0.460752603533566,0.00218966786396483,6.76686192845094e-08,2.02728065050281e-09,0.150283204398652,0.00500805637803314
8.5,19.2600036603881,3.98350763141006e-08,0.461282744154909,0.00219211902318265,6.54047497292347e-08,1.8217084239953e-09,0.150278524468556,0.00487463309599868
9,19.2600036714873,4.29290804676849e-08,0.462364579607514,0.00211966362993024,7.04847592191801e-08,2.32568907883491e-09,0.144971419516818,0.00418704545140382
