CV,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.01,19.2590935001586,0.000532194603035641,0.4607703592765,3.11791326709553e-05,0.000873845440351556,1.93169375210056e-05,0.00213983110509983,4.88527267260513e-05
0.02,19.2581068146332,0.00103217641695285,0.460767207119739,6.07809136749002e-05,0.00169488540909041,3.56680797914879e-05,0.00417143673657338,9.60483495384433e-05
0.03,19.2507826017516,0.00148473776379052,0.460798673792911,9.11464920739823e-05,0.00243894139722709,5.53982613202844e-05,0.00625502051288027,0.000130479209147709
0.04,19.2427310822683,0.00196167521802612,0.461061478661983,0.000125374926007435,0.00322374287306139,7.28298890785894e-05,0.00859907725991652,0.000189912181149954
0.05,19.2404237224304,0.00253173287647836,0.460966840868357,0.00015771460162055,0.00416105301645094,9.39598646660073e-05,0.0108193760845685,0.000241634490128222
0.06,19.2331693590213,0.00310191024495468,0.460892661865267,0.000170152949329326,0.00510009623913941,0.00011450751415961,0.0116745375875215,0.000275005219850852
0.07,19.2150104527658,0.00339842685082159,0.46120122090357,0.000212204985714855,0.00559290318185729,0.000128564943115464,0.0145500717536639,0.0003071256809814
0.08,19.2100529491168,0.00391582147883771,0.461300455797682,0.000240202570567722,0.00644605968371646,0.000135874863654119,0.0164662144438562,0.00034967338458841
0.09,19.1837400438715,0.00450135163026206,0.461258804043725,0.00027435128994402,0.0074200983063715,0.000163901002816755,0.0188088541101561,0.000402418708806699
0.1,19.1622933986859,0.00501543880812842,0.46187844640947,0.000306888600231028,0.00827678074273389,0.000183943372495296,0.0210113065940855,0.000455005520521266
0.15,19.0651230950471,0.00762931912709764,0.46250800645803,0.000449730159996214,0.0126545343125447,0.000279989577891004,0.0307491247330231,0.000743883325587541
0.2,18.9155238630982,0.0101395419002328,0.464472139676223,0.000615138291372688,0.0169511809810355,0.000378761890882906,0.0418806191061965,0.000957910683756889
0.25,18.7338221038214,0.0120344322789666,0.465020103560562,0.000804550224992012,0.0203141762197168,0.000430508954790575,0.0547118540358833,0.00129176236309112
0.3,18.5222188116914,0.0143249423871026,0.467101199349149,0.000972366459022017,0.0244568136001829,0.000544745495732934,0.0658292621630358,0.0014347815746625
0.35,18.2493879732505,0.0163322447771747,0.467440428118979,0.0010945516084582,0.0283007259613114,0.000623895596839877,0.0740474270327281,0.0016483959167804
0.4,17.9346243649543,0.0182563724836678,0.472509909831759,0.00130675584334626,0.0321900909023932,0.000702096257767594,0.0874547755449135,0.0021974780573642
0.45,17.6763292256901,0.019710992977166,0.472670372082803,0.00150031035797451,0.0352627697502022,0.000782079044123849,0.100374345602328,0.00242199864231372
0.5,17.3837847832093,0.0220381338212377,0.475756353003215,0.00166293711350433,0.0400894851862261,0.000833025754129226,0.110532814771768,0.00256191297795904
0.55,17.0467533020862,0.023742160511689,0.479662120839678,0.00184335582626413,0.0440431690772797,0.000977993377754008,0.121527272967311,0.00261328593881376
0.6,16.73259377454,0.0250293269782952,0.484425147968084,0.00214817581437002,0.0473026971305223,0.00107779252841161,0.140230712967525,0.00319876346877264
0.65,16.3538601889934,0.0273036162078029,0.485267849532958,0.00229241270806546,0.0527958626146606,0.00118993880160911,0.149386478036377,0.00343195871592436
0.7,16.0683823687072,0.027586991790821,0.487146964583813,0.00249590320500806,0.0542915433860072,0.00118053607848529,0.162019668004761,0.00372873902700285
0.75,15.6576491060918,0.0287230582615752,0.497425930858959,0.0028115140784862,0.0580101679740387,0.00125352688277415,0.178735920467457,0.00475022623873001
0.8,15.4264538331142,0.0281216736194564,0.501336318941841,0.00299039814285778,0.0576467807931728,0.00135328322813069,0.188625257833458,0.00450004175757465
0.85,15.076593941421,0.0304516486310932,0.50489018164424,0.00331451873803859,0.0638715671162574,0.00145285186699198,0.207598185517785,0.0050934993516748
0.9,14.7262129725625,0.030805627044511,0.510111936453888,0.00352276070888669,0.066151390307772,0.00150068432427451,0.218382411697169,0.0050209900630175
0.95,14.4186301255288,0.0324613382091046,0.514133123547681,0.00366451665823563,0.0711938400140196,0.00172333820489416,0.225393358896837,0.00579841344454943
1,14.091597323687,0.033758870187855,0.517978673095718,0.00415511962487596,0.0757578566683358,0.00167616530233423,0.253671485865295,0.00744848894022787
1.5,11.4172973712594,0.0353796751077786,0.569990381098752,0.00737687880853099,0.0979919788188918,0.00230697706249851,0.409265486428366,0.0154069669240416
2,9.63275485682915,0.0347046952499253,0.663222598544863,0.0133138791677828,0.113929902839774,0.00257714936070893,0.634812244860694,0.0516583649137104
2.5,8.39026703668257,0.0328104428132778,0.751375131666474,0.0184461957775609,0.123662012037324,0.0027643947648803,0.776336484454823,0.0619335273193664
3,7.37505811735929,0.0326915600478478,0.851499832083361,0.0258960887856006,0.140174881838597,0.0032059757370132,0.961722128025325,0.062927852944384
3.5,6.67733123587939,0.0305743739824555,0.933030184654111,0.038870918231423,0.144795362702445,0.00357747409939855,1.31743472371185,0.231645846970528
4,6.09814367966529,0.0282607688671361,1.24931221619114,0.139804967316942,0.146550167956409,0.00337756330649267,3.53876412314933,1.18384337302945
4.5,5.66727825384931,0.0269734432050836,1.18402150920855,0.0530808006823724,0.150508785777936,0.00336804090590831,1.41767889245457,0.0905809705823819
5,5.28958411926929,0.0254810552790974,1.19991429562063,0.0637879995991626,0.152333661871581,0.00345910543815667,1.68108144769564,0.273011272279561
5.5,5.01710696505396,0.024295479090296,1.54143787785666,0.0987121922513763,0.153134169363887,0.00362633046365318,2.02509205740305,0.147634939045664
6,4.74734108351643,0.0240071032648459,1.53649733649642,0.114270584965901,0.159915045083604,0.00370878576170526,2.35181219953182,0.244297817836937
6.5,4.54909005636858,0.0226342497675077,1.6676317175794,0.173790696718422,0.157340878082326,0.00359253636111075,3.2955384092567,1.02233622236842
7,4.32995649400688,0.0212512860624813,5.09769253603733,2.10959611520589,0.15520356211026,0.00375170665672584,13.0865653821471,3.32884329437956
7.5,4.19588349461746,0.0219908163909356,1.71847080450659,0.158081269461439,0.165736411630896,0.00354985630183746,2.90896339698072,0.496216331464701
8,4.09665916950993,0.0211443190231959,2.14037895531286,0.17602219381416,0.163216428118243,0.00404837245439733,2.60061915583067,0.264780535358707
8.5,3.9336709827923,0.0197331976051671,2.03221535270642,0.142633530356126,0.158635153330014,0.00368295854145638,2.21948341269757,0.129289288246934
9,3.82015421142834,0.0189080483183688,2.04021236452281,0.204431012124328,0.156518547381378,0.00332923814497244,3.16862907963789,0.440418650477072
9.5,3.73231145941164,0.018922310504801,2.21025424960126,0.246694930818642,0.160323168199726,0.00349437472704516,3.52953905074637,0.48503001804084
10,3.66497616555734,0.018715543351358,2.43396964967338,0.246165647319882,0.161484664468239,0.00381643804673635,3.19824911261738,0.321251358052428
