CV,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.01,19.2580146157873,0.000713872123793555,0.460799899434842,9.24550888400482e-05,0.00117221941842265,2.75792975267617e-05,0.00634480741784773,0.000151611139477799
0.02,19.2564531704941,0.00138591251719791,0.460711035069738,0.00019620776917888,0.00227593324340643,4.88497366078292e-05,0.0134675186395726,0.000291978557631574
0.03,19.2506662834075,0.00207583235348319,0.460720766497379,0.000292600476238145,0.00340993822293443,7.75914838455891e-05,0.0200834001123276,0.000459195725186601
0.04,19.2521048948598,0.00283323100698145,0.460425095845652,0.000379592613441683,0.00465375768956358,0.000105885011977044,0.0260710645940544,0.000605208207528047
0.05,19.2358533306914,0.00339967752985289,0.460690836382038,0.000467227667181807,0.00558889908319123,0.000125458786444445,0.0320714782552428,0.000719602812943147
0.06,19.2352367282016,0.00415436509552913,0.460914048477965,0.000552942865030646,0.00682978645878269,0.000158584272056432,0.0379367666316533,0.000872527846677412
0.07,19.2193485456225,0.00487584265044277,0.462083612386979,0.000664688605094793,0.00802252389116652,0.000192519321451777,0.0454880863660547,0.00105628224861875
0.08,19.2163101023951,0.00551273945953374,0.462397734816035,0.000741747890505416,0.00907188359592483,0.0002073430344437,0.0507271685609684,0.00120208712434805
0.09,19.2021319693917,0.00651537946727405,0.460790767307327,0.00088543075187381,0.0107297663455925,0.000235760522802758,0.0607646264841322,0.00145475572782304
0.1,19.1861130162925,0.00723023594717653,0.46054815344422,0.000962477993020628,0.0119169597271146,0.000275420007297746,0.0660869581817021,0.00158650498891433
0.15,19.0853579292843,0.01033820271504,0.464814154453848,0.00144778065197369,0.0171295019004598,0.000355158325527251,0.0984970954238658,0.00235533968625684
0.2,18.9412320736865,0.0136418815783842,0.465586537074951,0.00193061526211236,0.0227754019327587,0.000528426852935423,0.131127964999023,0.00320748290852789
0.25,18.7642583622199,0.0175794262887448,0.466699171120939,0.00232827458934065,0.029626018763098,0.000631400408231413,0.157760098500405,0.00388710756631123
0.3,18.5344821402295,0.0196338623330465,0.478639476286792,0.00311685470678146,0.0334984941952338,0.000736460015147761,0.205924510984964,0.00537850959931684
0.35,18.3634721688202,0.0240171309923574,0.478868215919922,0.00359541762046073,0.041358647264663,0.0010144554393358,0.237428763116323,0.00608165959758174
0.4,18.0468950312974,0.0252676577296049,0.492071086775301,0.0040989777088941,0.0442753999646698,0.00103216152367442,0.263419371443033,0.00631337682099241
0.45,17.7545705263894,0.027690434111678,0.486130277341903,0.00448704236358884,0.0493196053723589,0.00106207188604121,0.291882124770982,0.0076239613960443
0.5,17.5092670462152,0.0298966655455465,0.501946731554697,0.00509735823348308,0.0539951542909636,0.00121795152586425,0.321134914409985,0.0081104092369462
0.55,17.2226936218767,0.0327715964593193,0.502799725250684,0.00593792487305878,0.0601722875913679,0.00121672265230639,0.373456194003884,0.00927983307601641
0.6,16.8833258389561,0.0364296889817639,0.517749566325798,0.0067364279061124,0.0682334705453015,0.00143067786885258,0.411443231676786,0.0109043676406726
0.65,16.5988130164664,0.0383071296901581,0.52603041650117,0.0072072197614704,0.0729797849546161,0.00169405025009547,0.433268292643896,0.0124683410798774
0.7,16.290901900317,0.0376693430266764,0.541988810136729,0.00800066484413477,0.0731211339036791,0.00153755505071766,0.46680527770895,0.0123085677024299
0.75,16.0160916993876,0.0416167019234845,0.548332083549453,0.00945328953971959,0.0821695887190468,0.00179628765368981,0.545179230313315,0.0247113777132869
0.8,15.7168770023508,0.0420903857986166,0.551875337625641,0.00984743907080365,0.0846869811979347,0.00192731294575483,0.564263964348328,0.0193690646416807
0.85,15.3662794432255,0.0440428923902454,0.574708489833452,0.0108675463072804,0.0906373304022369,0.00218211045692318,0.597976182991789,0.0258756271287093
