CV,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.01,19.2595048747992,0.000481331796528398,0.46068512993059,6.04245950747878e-05,0.000790313560595278,1.81657295491259e-05,0.00414772118124392,9.70897995457046e-05
0.02,19.2622270445492,0.000979952557163501,0.460689789342727,0.000123082956211762,0.00160878701739731,3.76805864500279e-05,0.0084486891565634,0.000179749151032231
0.03,19.2609206877386,0.0014692650619733,0.460925146000282,0.000177235031023941,0.00241225440760049,5.31481327851782e-05,0.0121595964999904,0.000275539890272258
0.04,19.2586693673266,0.00194141599826592,0.46054241588358,0.000240121982677374,0.00318780925271267,6.88933914777857e-05,0.0164877838684885,0.000359508627240035
0.05,19.2607059783994,0.00240450422935105,0.460532046424539,0.000288830991847216,0.00394778364655203,9.10826781612444e-05,0.0198327955714237,0.000423538186543877
0.06,19.2626389005353,0.00302460081240265,0.460977978963909,0.000347853329200419,0.0049653776044788,0.000111311930781657,0.0238625023784879,0.000515905140708522
0.07,19.2617951343225,0.00336070528607716,0.461043174737885,0.000408998976443231,0.00551738982501924,0.000113165139572067,0.0280530847674618,0.000614596510957516
0.08,19.2646800776208,0.00380501116774812,0.461475306056787,0.000481315705526381,0.00624588716967008,0.000135833293330837,0.0329823477680723,0.000761032950218864
0.09,19.2552477065586,0.00424795062231914,0.462192302995877,0.000538214233010153,0.00697638356004253,0.000160603548856389,0.0368241278446355,0.000840299420954502
0.1,19.2680568276578,0.00476894029695307,0.461549326433194,0.00060082558246178,0.00782679514526046,0.0001735929487036,0.0411652061494569,0.000934973634369861
0.15,19.2718211398221,0.00706832569676788,0.462241101907483,0.000919311600101215,0.0115982855400709,0.000256303218968224,0.0628918225518504,0.00149434910480533
0.2,19.2834920832931,0.00983769958137118,0.464501945227343,0.0012375138465869,0.0161327302540657,0.000350863035254033,0.0842485684165534,0.00188170136760609
0.25,19.2962699875677,0.012227823087873,0.466990981783645,0.00144196465427997,0.0200389877464322,0.000462879896203435,0.0976441257080753,0.00227846917307807
0.3,19.3089915481636,0.014530340501774,0.465673483086288,0.00177623896209648,0.0237966706074662,0.000509555660642154,0.120620155387236,0.00267439817366161
0.35,19.3457073200945,0.0160643932571425,0.467487245414909,0.00210610077304368,0.0262590925628524,0.000540273828883897,0.142465393226897,0.00320598682931092
0.4,19.3613633924786,0.019291424635465,0.476952247036644,0.00244748407514191,0.0315085461291697,0.000708258818880186,0.162272518109019,0.00349039463562062
0.45,19.399806756653,0.0214035170768455,0.471634749026783,0.00256751771973738,0.0348889371683711,0.000767421914747581,0.172150248554966,0.00429981772911
0.5,19.3832758655371,0.0238873688902057,0.478380039155348,0.00305964505838818,0.0389709631775935,0.000894227987382744,0.20225440913607,0.00523849543267367
0.55,19.4363791854451,0.0265539702490009,0.482921411344454,0.00337228545689566,0.0432030195058515,0.00101861481458559,0.220824811522914,0.00502850075307759
0.6,19.4814105464465,0.0286921626128409,0.484246174476551,0.00356500254368461,0.0465739298682636,0.000985322717316164,0.232805719415822,0.00530688182888085
0.65,19.5000830418712,0.0305290135309653,0.486947452376535,0.00390505796803583,0.049508105821218,0.00111821364672682,0.253597744761038,0.00564149785924505
0.7,19.5781297919817,0.0323310796221922,0.49464059138504,0.00417831742132332,0.0522214593041754,0.00119040799632498,0.267123241979504,0.0070319634182464
0.75,19.6340952036999,0.0346579097257663,0.499648580619297,0.00449211558110608,0.0558202109834276,0.00119384513664902,0.284306156367322,0.00711767607393759
0.8,19.6728409559332,0.037112337446134,0.499435785100872,0.00476627159820402,0.0596556012857638,0.00140425533373987,0.301786028292935,0.00700970018685188
0.85,19.7043308074263,0.0392183318813867,0.510853348458413,0.00520596177640569,0.062940099813406,0.00135403412658017,0.322258759287713,0.00762862741416432
0.9,19.6902103817775,0.041845401007712,0.526309620043608,0.00600414349252713,0.0672043488727467,0.00156494642509474,0.360752836577274,0.0092325747490014
0.95,19.8379927302663,0.0424217636950884,0.519584676552361,0.00614561205553292,0.0676224643601425,0.0014727637993216,0.374032041133814,0.0104982604300358
1,19.7771859966529,0.0455240052291411,0.524818075268168,0.00621753139355004,0.0727907118646025,0.00166763978072798,0.37463573672024,0.00907617541734725
1.5,20.2856879667533,0.0602456580754654,0.587763298579924,0.00883542063441349,0.0939152268172634,0.00187503998408602,0.475362333066756,0.0145387555383795
2,20.9724537555856,0.0793751192185029,0.632805268822008,0.0117143971652263,0.119683738108624,0.00255566049463186,0.585396144486822,0.0149511996982359
2.5,21.395371764035,0.0856062315970144,0.681069149143015,0.0129962945020912,0.126527679320579,0.00282141501019103,0.603431998360889,0.0140180282076588
3,21.6838807768096,0.100495153479981,0.794441547464695,0.0188565079506925,0.146557519881224,0.00335941746721614,0.750584030147445,0.0375480626781195
3.5,22.3353991596596,0.112314654440436,0.820879628735957,0.0200990913264356,0.159016689206075,0.0035322029413069,0.77427804596812,0.0334921378701812
4,22.6343290406699,0.122415068864147,0.919715028584282,0.0251537608338962,0.171028015383843,0.00404205405873669,0.864867632713247,0.0552602033152814
4.5,23.1697735178195,0.13095768011037,0.882841445182738,0.0222405814682711,0.17873482704611,0.00410945204389807,0.796642413085975,0.0268258729781452
5,23.556396037996,0.137786635716356,0.967236054594311,0.0274976394042766,0.18496870204287,0.00419381886380954,0.899006714880798,0.0730373569225589
5.5,23.7525575783426,0.147072270296296,0.983324629604914,0.0258820878752629,0.195803484847578,0.0047780374873444,0.832343112562364,0.0293375409810538
6,24.1610656246169,0.152027293504082,0.982596626181083,0.0273760003785343,0.198978191381591,0.00469164114889808,0.881038181031225,0.036523201429098
6.5,24.2633671301043,0.153478943305131,1.07532122701376,0.0332428317860386,0.20003119563644,0.00469917878950923,0.977596848986785,0.0508298948143061
7,24.8742002516532,0.164420929509754,1.09083836609172,0.0355783224670743,0.209029688187968,0.00469953053282095,1.03139509776315,0.103069619762113
7.5,25.1196843619956,0.162879813283476,1.12849701150762,0.0332996361699672,0.20504684191733,0.00471464557865984,0.93312338870391,0.0454214672258088
8,25.4025804950224,0.169660115002116,1.16403148057201,0.0367482377284797,0.211203893871301,0.00456711745416222,0.998324642923088,0.0522748800831389
8.5,25.587647470883,0.182747266057752,1.22518055218123,0.0385901336287534,0.225850226195622,0.0050520467025913,0.996038643119664,0.0586362126519317
9,25.8294176872282,0.180079522657603,1.23002632410088,0.038144720295547,0.220470108327492,0.00507861773465967,0.98066353931208,0.0611005667410608
9.5,25.8135792132541,0.180553186858819,1.28111391238487,0.0410676893879718,0.221185642083562,0.00472749035634832,1.01370717662851,0.0475072130271273
10,26.0001898806368,0.192098525930286,1.27937055921617,0.0376300564384471,0.233640169510077,0.0056164219959159,0.930119002418516,0.0276065426323623
