CV,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.01,19.2600043786077,2.51504887553211e-08,0.460761210626913,6.51209985034005e-05,4.12942942118985e-08,8.63745052229678e-10,0.00446935796732915,9.59880885646741e-05
0.02,19.260004322147,2.51857673076739e-08,0.460625735295316,0.000132864564981111,4.13522177768534e-08,9.06267770001555e-10,0.0091213888732984,0.000226023430901214
0.03,19.2600043969302,2.6348861878532e-08,0.460559769838479,0.000204827981091016,4.32618890277224e-08,9.1302887673022e-10,0.0140638195344042,0.00029127128292506
0.04,19.2600043628036,2.55089241751325e-08,0.46093151581849,0.000268402403841167,4.18828051824016e-08,9.16086733105126e-10,0.0184140788050745,0.000390564881211239
0.05,19.2600043394765,2.47342279519859e-08,0.461023268488493,0.000324813945321514,4.06108405353574e-08,8.73618923040021e-10,0.0222798273581503,0.000494892101226311
0.06,19.2600043670303,2.63363683227045e-08,0.460294085297965,0.000388230414847762,4.32413760712433e-08,9.68772226530002e-10,0.0266719127419648,0.000579095717222163
0.07,19.2600043573009,2.66980161675718e-08,0.461687997857306,0.00047698277362678,4.38351614731194e-08,9.16189602677866e-10,0.0326703742857813,0.000755236728992631
0.08,19.2600043696947,2.6139863470073e-08,0.460816962031832,0.00053994605909418,4.29187370389854e-08,8.77726125806972e-10,0.037052875676298,0.00080803262729904
0.09,19.2600043884541,2.6828987711788e-08,0.459993501662664,0.000593019453086987,4.40502020533178e-08,9.98918658805578e-10,0.0407677969746079,0.000965753588001123
0.1,19.2600043372695,2.66327129828903e-08,0.460517966423427,0.00068912818913437,4.37279409810403e-08,9.23966262715675e-10,0.0473209480710729,0.00108150769063247
0.15,19.2600043697609,2.63924385787721e-08,0.461577365673427,0.00103836734571276,4.33334371647668e-08,9.4371267882282e-10,0.0711387971896136,0.00157130959889462
0.2,19.2600044575142,2.92347065979756e-08,0.461397458704489,0.00136317527199224,4.80001236657486e-08,1.15881626080668e-09,0.0934278814976288,0.00233080977835057
0.25,19.2600043876987,3.13254446102291e-08,0.459795385574367,0.00168386133638784,5.14328822007115e-08,1.12328121983406e-09,0.11580884136601,0.00260366287622629
0.3,19.2600044331601,3.27704512985288e-08,0.459960682288509,0.00208543251084057,5.38054217041375e-08,1.31621599976452e-09,0.143375660023991,0.00351895800438685
0.35,19.2600044279759,3.56434192549155e-08,0.457981374770958,0.00234169850860853,5.8522514292942e-08,1.65384883488179e-09,0.161690000697643,0.00378427240380567
0.4,19.2600045070947,3.91741126421305e-08,0.459837813680507,0.00262253076376577,6.4319518315531e-08,1.47228884229484e-09,0.180349901652996,0.00409494912101564
0.45,19.2600045094132,4.3106419798955e-08,0.46441740588635,0.00310734871694956,7.07759275307813e-08,2.02624046561313e-09,0.211583358104522,0.00502153642433753
0.5,19.260004537307,4.2862092935405e-08,0.459718184730367,0.00327810195926734,7.03747700033742e-08,2.29482575270387e-09,0.225491810806338,0.00582607782336085
0.55,19.2600045783466,4.57313415461835e-08,0.461820570321184,0.00378986906606793,7.50857556407917e-08,2.10934687614126e-09,0.259508108836616,0.00810941438158134
0.6,19.2600047310775,5.0228054174097e-08,0.456904582275862,0.00426823740599041,8.24688549386396e-08,2.24600581905462e-09,0.29540854525966,0.00885938728828253
0.65,19.2600047428405,5.57565823706576e-08,0.454747559593556,0.00446534907334363,9.1546080695339e-08,3.62338028969882e-09,0.310516754220933,0.00828127006646566
