L,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
98,18.5689722195368,0.0303141175289543,0.475649053621434,0.00291892468948389,0.0516246432576775,0.00125122550884294,0.19406010097132,0.00462252187516997
102.9,18.5823004021317,0.0291770959762297,0.470930770962534,0.00287093659678867,0.0496526677523928,0.00111558452475588,0.192782022827447,0.00436942230410442
107.8,18.555196830924,0.0291730824750197,0.469532901007182,0.00273229091717344,0.0497183553640648,0.00112561281394155,0.184018255375173,0.00431579260035451
112.7,18.5736767322365,0.0283176799249226,0.477969856282751,0.00297183781881308,0.0482125148969354,0.00113976108174473,0.196618598862367,0.00542081020149254
117.6,18.5723799594561,0.0277313799044911,0.46964407623571,0.00274081732996405,0.0472176012708403,0.00104687226240049,0.184548807314194,0.00454268858345125
122.5,18.5699754399027,0.0274510744818703,0.472469780280612,0.0028425421029448,0.0467463836247764,0.00101111658163196,0.190253594312247,0.00454967863030953
132.3,18.5622718908685,0.0262478861256763,0.472912443717649,0.00283702196231194,0.0447160263624316,0.00099137486570995,0.189706388402469,0.00406745920757283
137.2,18.5641591187853,0.027028732952076,0.470646712359975,0.0028494864888834,0.0460415997568757,0.00105925974078871,0.191457142483036,0.00464394017371325
142.1,18.5661335809339,0.0249224352039677,0.475130592083216,0.00289307127130805,0.0424491506209107,0.000943810679719034,0.192551159680538,0.0039884022730179
151.9,18.5719099424028,0.0254420394065764,0.469185586718844,0.00283461736392888,0.043320688660485,0.00098064352152309,0.191051204871074,0.00475831516124184
156.8,18.52416140986,0.0239624556727433,0.475559845467989,0.00291289383153443,0.0409065417754119,0.000910411872479998,0.193695476556454,0.00447049525520974
166.6,18.5804039746792,0.0241392924144491,0.472076522731889,0.00285414755436039,0.0410836843152128,0.000871836953234747,0.191189491859227,0.00414569922790171
171.5,18.5514275019826,0.0235407337578762,0.477103914641004,0.00288146278794639,0.0401275516175496,0.000882971094869565,0.190985341417407,0.00515852427234861
181.3,18.5418400731306,0.022749364085265,0.47023191750919,0.00296418118054786,0.0387986335477674,0.000897073234970451,0.199339168161736,0.00467027256034135
191.1,18.5759666562758,0.0231807192359942,0.472094826017693,0.00284909166095483,0.0394616721396054,0.000878952214550354,0.190843415658866,0.0045312199912389
196,18.5504705270278,0.0214200246720417,0.473688038800132,0.00304939518899672,0.0365144729897618,0.000879884058369035,0.203573522937489,0.00485283397938373
205.8,18.562721665028,0.0220032384066377,0.473713469747321,0.00299894850933928,0.0374839156241609,0.000830101087318854,0.200195022534136,0.00497031232451789
215.6,18.5751878434185,0.0216396565398074,0.469372652523337,0.00287519810470671,0.0368397902763581,0.000791803540125098,0.1937090856528,0.00438539514765737
230.3,18.5529424029902,0.0206257769954924,0.474334518138676,0.00302091653568698,0.0351558434234929,0.000797875412482705,0.20139746336663,0.00496858577618469
240.1,18.5642668646525,0.0199547168268588,0.474756259272883,0.0030713884785758,0.0339912993583993,0.000739024012070794,0.204580413249826,0.00561728303298229
249.9,18.5338261255375,0.0192048718566718,0.473123962476808,0.00294232909256807,0.0327677279517957,0.000721736074194641,0.196660120734164,0.00446961275763779
264.6,18.5458887540155,0.0194884461135121,0.474053830069538,0.00298252385441247,0.0332299403892472,0.000750012530094258,0.198955645065548,0.00463647167422858
274.4,18.5572001003193,0.0189422685429895,0.475401308811823,0.00304320014526934,0.0322789603617926,0.000751724958099408,0.202427794295695,0.00508622297588415
289.1,18.5290007511626,0.01858912986062,0.474073516346195,0.00301465642154472,0.0317253967818633,0.000735176703442017,0.201090766014703,0.00464421890557042
303.8,18.5589047169817,0.0175355267514652,0.472665315061125,0.00307514035191088,0.0298790286124502,0.00067010491018651,0.205736433938939,0.00493965573664716
318.5,18.5703557706534,0.018090671464752,0.476579884668729,0.00300742619937426,0.0308059398198692,0.00067613431581391,0.199553463980062,0.00481537061550906
333.2,18.5460612274231,0.0164776232587041,0.476627038296638,0.00309609126675422,0.0280958955568545,0.000642732826211725,0.205416383461776,0.00505663150530877
347.9,18.5444747895179,0.0163825730247283,0.475585932787103,0.0032163818104885,0.0279362156546263,0.000606103648189322,0.213864448981354,0.00618968104720214
367.5,18.5684419911198,0.0155298198737703,0.471954251876666,0.00307469437207943,0.0264478853297164,0.000562226568151605,0.206016521432105,0.00498918042819253
382.2,18.5526488943251,0.0156189843908974,0.473259288976307,0.00302812359817068,0.0266223792058941,0.000604415001232285,0.202336601304475,0.00474460830159617
401.8,18.5597607506834,0.0153335272360505,0.474503558504501,0.00316947154881891,0.0261258058665225,0.000556182736855415,0.211226004394111,0.00504243676822004
421.4,18.5509955754159,0.0148390192139069,0.472839489984622,0.00314004827391259,0.0252951917152808,0.000575087178307253,0.210001590788599,0.004666010876733
441,18.5540494296359,0.0146416806967267,0.473238793749341,0.00312947611932552,0.0249546924784095,0.00054872060379834,0.209117945335125,0.00473645719558468
460.6,18.5805658424964,0.0139495689151496,0.473970595147411,0.00324499344207533,0.0237411554219008,0.000528118023347054,0.216502255083487,0.00552997141015179
485.1,18.5342551442749,0.0141995956078503,0.473325202487221,0.00305838178727757,0.024227066922622,0.000555176244487461,0.204329969149167,0.00435475945760201
509.6,18.5481633136299,0.0136959069510713,0.478183509668227,0.00314963398779988,0.0233501613366168,0.000513482452061639,0.20828859623865,0.00517561734750188
534.1,18.5708423685988,0.0128241423470225,0.479153722187619,0.00327818963679568,0.0218371886691472,0.000524163583603308,0.216351149416206,0.00474191904372897
558.6,18.5483508613994,0.0129618071126048,0.476272881763692,0.00318051607409371,0.0220983705634461,0.000520755415326413,0.21117462937777,0.00493058353900173
583.1,18.5589475645549,0.0126485175237077,0.478012230536576,0.00323254685549906,0.0215519356689493,0.000461630340970103,0.213848308758075,0.00535856148760358
612.5,18.561167125249,0.0122556547061568,0.478323853319793,0.00340639169635069,0.0208800356284152,0.000480872366859873,0.225202157249537,0.00591183469633295
641.9,18.5528952585448,0.0120637539424628,0.479704017258685,0.00320964192189407,0.0205622567574451,0.000466186045526382,0.211584197371275,0.0044939719027488
671.3,18.5576195432275,0.0117744477530305,0.477094908484051,0.00318789023733914,0.0200640351546687,0.000428473541618536,0.211299552800476,0.00511011055538124
705.6,18.536151743012,0.0110462734454328,0.470605581816698,0.00335160918830799,0.0188450031208729,0.000432044878870573,0.225214474101365,0.00601795716602111
739.9,18.5703087352558,0.0108422416576776,0.47017600284331,0.0032548031646577,0.0184629017584012,0.000417710810111508,0.218909329136317,0.00626109659342922
774.2,18.5382763844541,0.0109080207305269,0.4808601155403,0.00341180695543921,0.0186070104671246,0.000410160010971329,0.22437046798672,0.00561085125560287
813.4,18.5657609457444,0.010574682880995,0.474347887979341,0.00345254678753322,0.0180116955807301,0.000378856582873685,0.230166758482076,0.00787606602944599
852.6,18.5486225997086,0.0104416467958591,0.472410771597748,0.00338162329447152,0.0178015301246318,0.000376472155271414,0.226362996826791,0.00539777443558565
891.8,18.524806047844,0.00999359996970352,0.475626801216472,0.00333243986616324,0.0170595783012427,0.000346996916583531,0.221562370237969,0.00543228225870363
935.9,18.5412085129868,0.0098971255164031,0.476632632113307,0.00338990625885652,0.016879945500037,0.000366339724742972,0.224907488707122,0.00577083677352485
980,18.5422131867853,0.00967425855000907,0.476900087495895,0.00341925474850342,0.0164989429164742,0.000344032642883352,0.22672742549476,0.00674473390927856
