L,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
98,19.3101762154901,0.0225095831096758,0.46944373471031,0.00169990693793045,0.0368621969126991,0.000812082067005504,0.114509521306103,0.00253282429099555
102.9,19.3083793943786,0.0221300418097871,0.465670354307698,0.00169565076388259,0.0362440241121718,0.000821074384583581,0.115148376538702,0.00270847481718658
107.8,19.3228253441117,0.0211875820225578,0.468265360192371,0.00173011959076932,0.0346745447985624,0.000800136554027334,0.116837993932796,0.00291445011388535
112.7,19.2848697758069,0.020678743347422,0.466718230054252,0.00168567486801844,0.0339084105249925,0.000765232167419655,0.114213922537853,0.00256002143711396
117.6,19.3524376920357,0.0206038070400025,0.467045837240916,0.00167916070615016,0.0336675718862197,0.000716468929155539,0.113692746310726,0.00243038203169803
122.5,19.3059507386795,0.0200318799788685,0.467007147377999,0.00163294654964725,0.0328118347579928,0.000753143921643492,0.110572834338634,0.0023218775315998
132.3,19.3253481206923,0.0190819869546481,0.467796211701123,0.00167090511537532,0.0312245557914154,0.000700485865114578,0.11295230244379,0.00267096168455589
137.2,19.3252190563149,0.0187675504011325,0.467730559043705,0.00171278150294969,0.0307102368136894,0.000762832716347856,0.115799375918505,0.00258385907759346
142.1,19.2929783686497,0.0187449627321594,0.468630073037477,0.00168805442905869,0.0307245339500917,0.000680459710964441,0.113908541454908,0.00253946569184267
151.9,19.288188497148,0.0177058448262566,0.465498601282448,0.00174302097696558,0.029028541252984,0.000647947789507689,0.118408869145424,0.00282021357270717
156.8,19.295647531926,0.0175963866676192,0.466354277634306,0.00173430386199926,0.0288379337187979,0.000666196122287964,0.11760051578308,0.00273050803676924
166.6,19.31670111043,0.0170306181848992,0.463914903591025,0.00167507132541881,0.0278803006357462,0.000625891703790077,0.114181298995953,0.00263890680542404
171.5,19.3298536770005,0.0172681365416712,0.469963116097843,0.00168189568292751,0.0282498995237803,0.000633738658022309,0.113171033272066,0.00255601713408122
181.3,19.3209713606344,0.0172891681979039,0.464363631852939,0.00175298008710369,0.0282973093508742,0.000634250095182381,0.1193764840293,0.00272143098589171
191.1,19.3108462034128,0.01619887366322,0.467062975525185,0.00177301879157419,0.0265267175583624,0.000617507275925964,0.120043292006807,0.0027011050003092
196,19.3257625831265,0.0157897578914176,0.464014349861499,0.00171120808305207,0.0258368064001225,0.000618275908796026,0.116619563480102,0.00274522926320075
