L,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
98,19.2600000056172,4.04052815626671e-11,0.464239023616368,0.00198561024878929,6.63409757015424e-11,1.74136290982138e-12,0.135254698810855,0.00313314746987736
102.9,19.2600000072446,5.43845023979283e-11,0.458158162083564,0.0020193953717359,8.92933005854894e-11,2.38996507792262e-12,0.139381755026403,0.00338482021381108
107.8,19.2600000091559,6.86249874211782e-11,0.457621141806452,0.00200486897306991,1.12674592184924e-10,2.64181569136552e-12,0.138541509251012,0.00319041214351402
112.7,19.2600000113904,8.68547828334828e-11,0.460388885350793,0.00205509755534923,1.42605887471789e-10,3.62603798726504e-12,0.14115868769933,0.00343690633887804
117.6,19.2600000140411,9.88604558871565e-11,0.463602689106703,0.00200858026747145,1.62317866509919e-10,3.64359710827403e-12,0.137007154137065,0.00335697456800626
122.5,19.2600000175435,1.20124201047283e-10,0.461669464879025,0.00206951317134565,1.97230569611312e-10,4.89150758230363e-12,0.141754561802901,0.00345979142797481
132.3,19.2600000267138,1.76280704432952e-10,0.462748685451372,0.00203953737753695,2.89433298428808e-10,6.78213094516199e-12,0.139375511780709,0.00321761320949557
137.2,19.2600000325346,2.09569351156088e-10,0.461669933909809,0.00204135961615675,3.44089551556281e-10,8.21146173458877e-12,0.139825997674856,0.0032178406049113
142.1,19.2600000393984,2.51861918198468e-10,0.464436363611511,0.00204635637465619,4.13529239738803e-10,9.89041122135541e-12,0.139333341558315,0.00349886366327644
151.9,19.2600000584356,3.62055995435872e-10,0.461486803817822,0.00195273559269584,5.94455650375464e-10,1.49039779322936e-11,0.133808639595151,0.0030122646884585
156.8,19.2600000731099,5.06696562832416e-10,0.458256447974299,0.00203118644577667,8.31939363991044e-10,2.22564240275802e-11,0.140165524118858,0.00333008575728376
166.6,19.2600001119752,7.87470286120494e-10,0.461357660865426,0.00204140968825181,1.29293856664981e-09,3.48476795984107e-11,0.13992407192937,0.00343731641043795
171.5,19.2600001391733,1.03345109949996e-09,0.462200847059741,0.00204691513086479,1.69681168287128e-09,4.41815226109917e-11,0.140045480915307,0.00341392150076101
181.3,19.2600002259259,1.61165106659204e-09,0.460967990073952,0.00205367252843515,2.64615166359664e-09,6.28804384498368e-11,0.140883594909271,0.0034890202050925
191.1,19.2600003575426,2.55545538198345e-09,0.462652219092594,0.00201911237571013,4.19577326894421e-09,9.84882429376191e-11,0.138008501755393,0.00314904448434057
196,19.2600004485512,3.1144062141787e-09,0.460125629746189,0.00200885663680902,5.11350828993763e-09,1.19921963309755e-10,0.138061478309007,0.00292993296428357
205.8,19.2600006938493,4.87851969742431e-09,0.460793820838323,0.00205660846032479,8.00998613607682e-09,1.93577332527304e-10,0.141138329024604,0.00361947026939142
215.6,19.2600010887092,8.63761552180295e-09,0.459013494621205,0.00205644309627609,1.41820026260194e-08,4.02291077417443e-10,0.141674354653297,0.00384398989918436
230.3,19.2600022698649,1.90304190156805e-08,0.458823131518111,0.0021028561261543,3.12458264924973e-08,1.07065676062027e-09,0.144931989986722,0.00351382473219234
240.1,19.2600035722428,2.73045018246875e-08,0.460799995694895,0.00191268766929494,4.48309450298721e-08,1.11696097476105e-09,0.131259755729158,0.00276013934429572
249.9,19.2600053611443,4.01659125693647e-08,0.463886614035476,0.00208985782226034,6.5947940115647e-08,1.57426440804649e-09,0.142463923387895,0.003297807616164
264.6,19.260008970192,6.6810769506818e-08,0.458841199856884,0.00203031646016143,1.09695797233039e-07,2.93016060688096e-09,0.13992693740325,0.00350796842252627
274.4,19.2600115330579,8.70900726027606e-08,0.46436341991456,0.00201346165843685,1.42992121547513e-07,4.15834370449798e-09,0.137115124685143,0.00304968886341783
289.1,19.2600162872792,1.30329273865611e-07,0.457977864430894,0.00199348170675017,2.13985982703138e-07,7.71563451472232e-09,0.137647322213793,0.00325791927884763
303.8,19.2600208714846,1.66468866742567e-07,0.462461567771577,0.00207911612057862,2.7332305708607e-07,1.10757321887864e-08,0.142168407478331,0.00324918912119616
318.5,19.2600261703569,2.19907390514545e-07,0.461375792044111,0.00204693946577406,3.6106297165908e-07,1.4313793494745e-08,0.140297585091232,0.0036946816812598
333.2,19.2600314324947,2.65117558289904e-07,0.459418026944035,0.00203081028135244,4.35292816025253e-07,1.74927870476535e-08,0.139785241503886,0.00290675659538123
347.9,19.2600364000227,2.80643560913514e-07,0.458557833142342,0.001942773326439,4.6078462403418e-07,1.60995783080611e-08,0.133976311054794,0.00311299443559369
367.5,19.2600427026563,3.31147140345957e-07,0.459630468150265,0.00196088880881578,5.43705546405792e-07,3.12253929757937e-08,0.134910004968711,0.0033513056462357
382.2,19.260047648342,3.55080100989029e-07,0.45907683651166,0.00200629082786338,5.83000567511369e-07,2.0725471704618e-08,0.138200147778355,0.00318282725140771
401.8,19.2600535803173,3.84697736074071e-07,0.462149413042605,0.00205111615651669,6.31629113403715e-07,2.28103884130809e-08,0.140348524029505,0.00395828455122079
421.4,19.2600601487453,4.48728831149737e-07,0.459672538270416,0.00208181390446173,7.36760501919163e-07,4.24798759633564e-08,0.143216595611253,0.00335268767549664
441,19.2600654233021,4.62244249370259e-07,0.459927505800919,0.00210459072517311,7.58951037391782e-07,3.57153875173943e-08,0.144703244534656,0.003581899876855
460.6,19.2600699958363,4.38678703869652e-07,0.462026997315861,0.00199742152926266,7.20258994665396e-07,2.36702299692666e-08,0.136710657962018,0.00301305824750391
485.1,19.2600755654436,5.08593992589186e-07,0.462296349941865,0.00210395946511584,8.35051459375507e-07,4.21452838117507e-08,0.14391859280897,0.00329682571603889
509.6,19.2600819113844,5.02435342987611e-07,0.458834229788659,0.00201761343547745,8.24939409977078e-07,2.61252929857149e-08,0.13905357272069,0.0034821143965754
534.1,19.2600863154297,5.21251001829264e-07,0.459266392555612,0.0019890091497533,8.5583230076417e-07,3.01629977662135e-08,0.136953177983162,0.00336277887611605
558.6,19.2600919971208,5.79980030632376e-07,0.459739983393773,0.00210416130005646,9.52258117192123e-07,3.59383723134335e-08,0.144732729649494,0.00340977165609119
583.1,19.2600954975128,5.55698260302174e-07,0.459475164925391,0.00203135894840366,9.12390177180028e-07,3.00696304439389e-08,0.139805619817626,0.00351919687589157
612.5,19.2601002454581,5.90937462597788e-07,0.461883305409524,0.00203897053084752,9.70248499599707e-07,3.65606807666427e-08,0.139597835295734,0.00354704165515596
641.9,19.2601043686757,5.8441167607186e-07,0.462516812998496,0.00204338146934704,9.59533734712919e-07,4.27095696200056e-08,0.139708209304366,0.00318797351331356
671.3,19.2601083151474,6.1668374986779e-07,0.465053815282435,0.00201810890917254,1.01252039380385e-06,4.25837773843648e-08,0.137227574735352,0.00359687934569011
705.6,19.2601117342632,5.74902334821954e-07,0.459105170794697,0.00202027628030235,9.43920178278062e-07,6.36714623159123e-08,0.139154924731289,0.00322741403860513
